Ref,Val,Package,PosX,PosY,Rot,Side
"C69","10nf","C_0402_1005Metric",259.235700,-118.867800,180.000000,bottom
"C70","10nf","C_0402_1005Metric",259.235700,-109.617800,180.000000,bottom
"C71","10nf","C_0402_1005Metric",259.235700,-100.367800,180.000000,bottom
"C72","10nf","C_0402_1005Metric",259.340000,-90.710000,180.000000,bottom
"C73","10nf","C_0402_1005Metric",259.340000,-81.460000,180.000000,bottom
"C84","10u","C_0805_2012Metric",211.398800,-121.009400,180.000000,bottom
"C85","100n","C_0402_1005Metric",210.608800,-119.509400,180.000000,bottom
"C86","10u","C_0805_2012Metric",211.398800,-110.509400,180.000000,bottom
"C87","100n","C_0402_1005Metric",210.608800,-109.009400,180.000000,bottom
"C88","22u","C_1206_3216Metric",212.050000,-143.000000,180.000000,bottom
"C89","100n","C_0402_1005Metric",210.660000,-141.250000,180.000000,bottom
"C90","100n","C_0402_1005Metric",210.660000,-130.500000,180.000000,bottom
"C91","22u","C_1206_3216Metric",212.050000,-132.250000,180.000000,bottom
"D3","SMBJ18CA","D_SMB",258.500000,-126.000000,-90.000000,bottom
"D4","ESD5Z3.3T5G","D_SOD-523",210.948800,-118.200000,0.000000,bottom
"D6","ESD9B5.0ST5G","D_SOD-923",210.500000,-140.250000,180.000000,bottom
"D7","ESD5Z3.3T5G","D_SOD-523",210.948800,-107.700000,0.000000,bottom
"D8","ESD9B5.0ST5G","D_SOD-923",210.500000,-129.500000,180.000000,bottom
"Q1","DMN3404LQ-7","SOT-23",259.235700,-114.655800,0.000000,bottom
"Q2","DMN3404LQ-7","SOT-23",259.235700,-105.431200,0.000000,bottom
"Q3","DMN3404LQ-7","SOT-23",259.235700,-96.206600,0.000000,bottom
"Q4","DMN3404LQ-7","SOT-23",259.235700,-86.982000,0.000000,bottom
"Q5","DMN3404LQ-7","SOT-23",259.235700,-77.820000,0.000000,bottom
"R13","100","R_0402_1005Metric",212.510000,-61.250899,0.000000,bottom
"R14","100","R_0402_1005Metric",212.510000,-57.750899,0.000000,bottom
"R24","47","R_0402_1005Metric",210.430000,-78.748302,0.000000,bottom
"R29","47","R_0402_1005Metric",215.600000,-43.100000,0.000000,bottom
"R30","47","R_0402_1005Metric",215.600000,-44.100000,0.000000,bottom
"R36","100k","R_0402_1005Metric",215.520000,-102.783103,90.000000,bottom
"R42","2.2k","R_0402_1005Metric",212.430000,-75.250000,0.000000,bottom
"R43","2.2k","R_0402_1005Metric",212.430000,-78.748302,180.000000,bottom
"R44","220","R_0402_1005Metric",255.173200,-115.115800,180.000000,bottom
"R45","25k","R_0402_1005Metric",256.673200,-114.655800,-90.000000,bottom
"R46","470k","R_0402_1005Metric",260.400000,-120.000000,180.000000,bottom
"R47","100k","R_0402_1005Metric",259.235700,-117.617800,180.000000,bottom
"R48","820k","R_0402_1005Metric",258.500000,-121.250000,-90.000000,bottom
"R49","100k","R_0402_1005Metric",257.000000,-121.750000,180.000000,bottom
"R52","47.5k","R_0402_1005Metric",238.500000,-95.900000,180.000000,bottom
"R53","47.5k","R_0402_1005Metric",238.500000,-94.800000,0.000000,bottom
"R54","100k","R_0402_1005Metric",238.500000,-98.100000,180.000000,bottom
"R55","47.5k","R_0402_1005Metric",238.500000,-97.000000,0.000000,bottom
"R58","270k","R_0402_1005Metric",243.900000,-91.800000,90.000000,bottom
"R59","33.2k","R_0402_1005Metric",242.800000,-91.800000,90.000000,bottom
"R60","25k","R_0402_1005Metric",256.673200,-105.431200,-90.000000,bottom
"R61","220","R_0402_1005Metric",255.173200,-105.891200,180.000000,bottom
"R62","470k","R_0402_1005Metric",260.400000,-110.800000,180.000000,bottom
"R63","100k","R_0402_1005Metric",259.235700,-108.367800,180.000000,bottom
"R64","25k","R_0402_1005Metric",256.673200,-96.206600,-90.000000,bottom
"R65","220","R_0402_1005Metric",255.173200,-96.666600,180.000000,bottom
"R66","470k","R_0402_1005Metric",260.400000,-101.600000,180.000000,bottom
"R67","100k","R_0402_1005Metric",259.235700,-99.117800,180.000000,bottom
"R68","25k","R_0402_1005Metric",256.673200,-86.982000,-90.000000,bottom
"R69","25k","R_0402_1005Metric",256.673200,-77.820000,-90.000000,bottom
"R70","220","R_0402_1005Metric",255.173200,-87.442000,180.000000,bottom
"R71","470k","R_0402_1005Metric",260.430000,-91.970000,180.000000,bottom
"R72","220","R_0402_1005Metric",255.173200,-78.280000,180.000000,bottom
"R73","470k","R_0402_1005Metric",260.430000,-82.720000,180.000000,bottom
"R74","100k","R_0402_1005Metric",259.320000,-89.470000,180.000000,bottom
"R75","100k","R_0402_1005Metric",259.320000,-80.220000,180.000000,bottom
"R83","50","R_0402_1005Metric",236.213333,-154.080000,90.000000,bottom
"R84","100k","R_0402_1005Metric",236.213333,-156.050000,90.000000,bottom
"R85","50","R_0402_1005Metric",234.286667,-154.080000,90.000000,bottom
"R86","100k","R_0402_1005Metric",234.286667,-156.050000,90.000000,bottom
"R87","50","R_0402_1005Metric",228.173333,-154.080000,90.000000,bottom
