Designator,Mid X,Mid Y,Rotation,Layer
C69,259.235700,-118.867800,180.000000,Bottom
C70,259.235700,-109.617800,180.000000,Bottom
C71,259.235700,-100.367800,180.000000,Bottom
C72,259.340000,-90.710000,180.000000,Bottom
C73,259.340000,-81.460000,180.000000,Bottom
C84,211.398800,-121.009400,180.000000,Bottom
C85,210.608800,-119.509400,180.000000,Bottom
C86,211.398800,-110.509400,180.000000,Bottom
C87,210.608800,-109.009400,180.000000,Bottom
C88,212.050000,-143.000000,180.000000,Bottom
C89,210.660000,-141.250000,180.000000,Bottom
C90,210.660000,-130.500000,180.000000,Bottom
C91,212.050000,-132.250000,180.000000,Bottom
D3,258.500000,-126.000000,270.000000,Bottom
D4,210.948800,-118.200000,0.000000,Bottom
D6,210.500000,-140.250000,180.000000,Bottom
D7,210.948800,-107.700000,0.000000,Bottom
D8,210.500000,-129.500000,180.000000,Bottom
Q1,259.235700,-114.655800,0.000000,Bottom
Q2,259.235700,-105.431200,0.000000,Bottom
Q3,259.235700,-96.206600,0.000000,Bottom
Q4,259.235700,-86.982000,0.000000,Bottom
Q5,259.235700,-77.820000,0.000000,Bottom
R13,212.510000,-61.250899,0.000000,Bottom
R14,212.510000,-57.750899,0.000000,Bottom
R24,210.430000,-78.748302,0.000000,Bottom
R29,215.600000,-43.100000,0.000000,Bottom
R30,215.600000,-44.100000,0.000000,Bottom
R36,215.520000,-102.783103,90.000000,Bottom
R42,212.430000,-75.250000,0.000000,Bottom
R43,212.430000,-78.748302,180.000000,Bottom
R44,255.173200,-115.115800,180.000000,Bottom
R45,256.673200,-114.655800,270.000000,Bottom
R46,260.400000,-120.000000,180.000000,Bottom
R47,259.235700,-117.617800,180.000000,Bottom
R48,258.500000,-121.250000,270.000000,Bottom
R49,257.000000,-121.750000,180.000000,Bottom
R52,238.500000,-95.900000,180.000000,Bottom
R53,238.500000,-94.800000,0.000000,Bottom
R54,238.500000,-98.100000,180.000000,Bottom
R55,238.500000,-97.000000,0.000000,Bottom
R58,243.900000,-91.800000,90.000000,Bottom
R59,242.800000,-91.800000,90.000000,Bottom
R60,256.673200,-105.431200,270.000000,Bottom
R61,255.173200,-105.891200,180.000000,Bottom
R62,260.400000,-110.800000,180.000000,Bottom
R63,259.235700,-108.367800,180.000000,Bottom
R64,256.673200,-96.206600,270.000000,Bottom
R65,255.173200,-96.666600,180.000000,Bottom
R66,260.400000,-101.600000,180.000000,Bottom
R67,259.235700,-99.117800,180.000000,Bottom
R68,256.673200,-86.982000,270.000000,Bottom
R69,256.673200,-77.820000,270.000000,Bottom
R70,255.173200,-87.442000,180.000000,Bottom
R71,260.430000,-91.970000,180.000000,Bottom
R72,255.173200,-78.280000,180.000000,Bottom
R73,260.430000,-82.720000,180.000000,Bottom
R74,259.320000,-89.470000,180.000000,Bottom
R75,259.320000,-80.220000,180.000000,Bottom
R83,236.213333,-154.080000,90.000000,Bottom
R84,236.213333,-156.050000,90.000000,Bottom
R85,234.286667,-154.080000,90.000000,Bottom
R86,234.286667,-156.050000,90.000000,Bottom
R87,228.173333,-154.080000,90.000000,Bottom
R88,228.173333,-156.050000,90.000000,Bottom
R89,222.060000,-154.080000,90.000000,Bottom
R90,222.060000,-156.050000,90.000000,Bottom
R91,215.946667,-154.080000,90.000000,Bottom
R92,215.946667,-156.050000,90.000000,Bottom
R93,254.553333,-154.080000,90.000000,Bottom
R94,254.553333,-156.050000,90.000000,Bottom
R95,248.440000,-154.080000,90.000000,Bottom
R96,248.440000,-156.050000,90.000000,Bottom
R97,242.326667,-154.080000,90.000000,Bottom
R98,242.326667,-156.050000,90.000000,Bottom
R109,202.780000,-50.750000,90.000000,Bottom
R111,205.320000,-50.750000,90.000000,Bottom
R112,210.430000,-75.250000,0.000000,Bottom
R113,214.010000,-103.243103,0.000000,Bottom
R114,214.010000,-99.743102,0.000000,Bottom
R115,214.010000,-96.243102,0.000000,Bottom
